Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"right associated monadic binds/100",1.500861054388591e-7,1.490901103707862e-7,1.5106585313570617e-7,3.5143856288337945e-9,2.64420641996801e-9,4.662799180753728e-9
"right associated monadic binds/200",1.4880895334598933e-7,1.4751289864578727e-7,1.496563104212608e-7,3.4994173682446218e-9,2.348385214837774e-9,5.7554344260135825e-9
"right associated monadic binds/400",1.5287987625314512e-7,1.4845554209812162e-7,1.6209289688186457e-7,2.0366313751206574e-8,3.2611337377151903e-9,3.542090801086825e-8
"right associated monadic binds/800",1.894966230241685e-7,1.7613881074741498e-7,2.0960454955241354e-7,6.082721280938235e-8,4.7894849389229276e-8,8.585104511480511e-8
"balanced monadic binds/100",8.911428943354006e-7,8.769974468653466e-7,9.132527081497929e-7,5.838386762478308e-8,4.233059429085461e-8,8.991697620618814e-8
"balanced monadic binds/200",1.0272965682836285e-6,1.0042353533325348e-6,1.0540144310313558e-6,8.765136265700638e-8,6.669755611256627e-8,1.1755356819803341e-7
"balanced monadic binds/400",1.5165775604616928e-6,1.3853481931485288e-6,1.6613543984479951e-6,4.293171445010292e-7,3.3678973964177367e-7,5.771215362018615e-7
"balanced monadic binds/800",1.1777358019552352e-6,1.1663798584914728e-6,1.19099909217031e-6,4.314561712430776e-8,3.5623089585717055e-8,5.2466488825281874e-8
